company,website,location,coverage,business_type,fleet_categories,whatsapp_number,phone,online_booking,whatsapp_available,whatsapp_automation_evidence,ai_chatbot_evidence,human_whatsapp_evidence,daily,weekly,monthly,long_term,airport_pickup,hotel_delivery,home_delivery,deposit_policy,insurance,payment_methods,documents_required,age_requirement,mileage_policy,fuel_policy,cancellation_policy,extension_policy,roadside_assistance,languages,interesting_features,source_urls,evidence_notes
"Panorama Car Rental","https://panoramacar.ae/","Dubai","Dubai","Sports and luxury; no-deposit","AED 299 - AED 2,199+/day; Mercedes, BMW, Audi, Lamborghini, Ferrari, Rolls-Royce, Porsche, Range Rover","+971 54 432 1921","+971 52 202 9780","YES","YES - WhatsApp, phone or online","NONE FOUND","NONE FOUND - no chatbot mentioned","YES","YES","YES","YES","Unknown","YES","YES","YES - free delivery across Dubai within 30 minutes","No deposit required","Included in rate","Cash, debit/credit card, bank transfer, online","Residents: passport, UAE licence, Emirates ID copy. Tourists: passport, home licence, UAE visa stamp, airport entry stamp","Unknown","250 km/day","Delivered clean and fuelled","Unknown","Unknown","Unknown","Unknown","30-minute free delivery claim across Dubai; explicit tourist document list including airport entry stamp","https://panoramacar.ae/","Typical mid-size WhatsApp-first luxury operator."
"Star Empire Rent a Car","https://starempirecarrental.com/","Dubai","Dubai","Luxury + economy + chauffeur; no-deposit","100+ vehicles; economy AED 99/day to Ferrari AED 10,500/day","+971 50 101 1866","+971 50 101 1866 (24/7)","Unknown","YES - PRIMARY: message on WhatsApp with car preference; instant confirmation and delivery","NONE FOUND","NONE FOUND","YES","YES","YES","YES - monthly plans","Unknown","YES - DXB and DWC with meet-and-greet and luggage assistance","YES","YES - free delivery across Dubai 24/7, within 60 minutes most locations","No deposit on selected vehicles; refundable deposit may apply otherwise","Comprehensive insurance on all vehicles","Visa, Mastercard, Apple Pay, cash","Residents: Emirates ID, UAE licence, payment method. Tourists: passport, visit visa, international or home licence","Unknown","200-300 km/day included","Unknown","Unknown","Unknown","YES - 24/7 roadside assistance","English-speaking team; multilingual support stated","Airport meet-and-greet with luggage assistance; chauffeur service; airport transfers","https://starempirecarrental.com/","Good example of an airport meet-and-greet workflow coordinated over WhatsApp."
"Saadatrent","https://saadatrent.ae/","Dubai","Dubai / UAE","Broad - economy to supercar; 200+ vehicles","From AED 39/day to supercars","+971 54 555 3250","Unknown","YES - online reservation system","YES","NONE FOUND","NONE FOUND","YES - 24/7 multilingual support via WhatsApp and phone","YES","YES","YES - dedicated monthly product","YES","YES - DXB T1/T2/T3 coordination","YES","YES","Low or no-deposit options; deposit refunded within 7 days","Included in daily rates","Visa, Mastercard, Verified by Visa, Mastercard SecureCode, Tether, Bitcoin","Passport, valid driving licence, IDP if applicable, UAE visa or entry stamp","21+ (25+ for luxury)","Unlimited mileage options / 'no mileage limit' plans offered","Unknown","Unknown","Manager assistance for booking and rental modifications","Unknown","Multilingual stated","FASTEST published deposit refund found (7 days vs market 21-30); unlimited-mileage plans; crypto","https://saadatrent.ae/ | https://saadatrent.ae/mag/hidden-fees-in-dubai-car-rental/ | https://www.saadatrent.com/dubai/self-drive-monthly-car-rental","7-day deposit refund is a genuine differentiator worth borrowing."
"BE VIP Rent A Car","https://www.bevip.ae/","Dubai","Dubai","Luxury, sports, exotic","AED 300 - AED 10,000+/day; 30+ luxury brands","+971 56 822 2244","+971 56 822 2244 / +971 56 322 2266","YES","YES","PARTIAL - site shows a chat/WhatsApp widget labelled 'Typically replies within minutes'; nature unverified","UNCLEAR - widget label only; no AI capability demonstrated publicly","YES - human team implied by 'replies within minutes'","YES","YES","YES","Unknown","YES - airport delivery","YES","YES - free pick-up and drop-off","Refundable security deposit returned within 30 working days; credit card used to block deposit; credit card not mandatory to book","Basic insurance per RTA requirement; upgraded insurance at extra cost","Cash, debit card, credit card","Residents: Emirates ID, valid licence. Tourists: visit visa with entry stamp, passport copy, home licence, IDP","18 minimum","250 km/day; excess charges beyond","Full tank provided; return at same level","Unknown","Unknown","YES - 24/7 roadside assistance","Arabic and English","Publishes Salik pass-through at AED 5 per gate (AED 4 toll + AED 1 admin); iOS and Android apps","https://www.bevip.ae/","Widget wording is ambiguous - classified PARTIAL/UNCLEAR, not AI. Do not cite as an AI competitor."
"Dubai Rent A Car","https://dubairentacar.ae/","Dubai","Dubai","Luxury platform; 40+ brands","Economy from AED 300/day to supercars AED 9,500+/day; monthly from ~AED 1,200","+971 58 588 0797","+971 55 454 2677","YES - booking request form","YES","NONE FOUND","NONE FOUND","YES","YES","YES","YES","Unknown","YES - free delivery to airport/hotel","YES","YES","'100% refundable deposit guaranteed', refunded within 21 days; AED 1,000-10,000 by vehicle class","Comprehensive insurance included","No pre-payment required for most bookings - pay on delivery","IDL or home licence with English translation","Economy 20+ with 1 year experience; luxury 23+","250 km/day typical","Full tank provided","Unknown","Unknown","YES - 24/7 support","Unknown","Pay-on-delivery model (no prepayment) - reduces booking friction but increases no-show risk; 5% VAT stated as included","https://dubairentacar.ae/","Deposit-by-class table (AED 1,000-10,000) is a useful reference for our PricingRule/Deposit model."
"Luxury Supercars Dubai","https://luxurysupercarsdubai.com/","Dubai","Dubai","Supercar / exotic showroom","Exotic and supercar incl. rare models","Unknown","Unknown","YES - 'select your desired luxury car, enter your payment details, and make the reservation'","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","YES","YES","Unknown","Unknown","YES - free delivery to hotel, residence, office or airport claimed","YES","YES","'Deposit type, amount and method of payment will vary by agreement type'","'All our vehicles are insured' - no excess detail","Cash, Visa, Mastercard, Amex, online banking, Bitcoin","Passport copy with visa page; valid UAE or international licence; credit card","21 minimum, 65 maximum; licence held at least 1 year","Unknown","Unknown","Modification or cancellation requires 48 hours minimum notice via customer service","Depends on availability; if the vehicle is already booked, extension is not possible but customer 'may exchange your rental car by any other available models'","Unknown","Unknown","BEST published extension/substitution logic found; 1-hour late-return grace then hourly rate charges","https://luxurysupercarsdubai.com/faq","Borrow this extension-conflict rule directly."
"Udrive","https://www.udrive.ae/","Dubai","UAE","Car sharing - pay per minute/hour/day","2,000+ cars; economy/compact","Unknown","Unknown","YES - app only","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","YES","YES - 'from minutes to months'","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Per-minute car sharing; 2,000+ cars in one app; no human channel needed for the core loop","https://www.udrive.ae/","Included as the fully self-service extreme of the market."
"Yango Drive","https://drive.yango.com/uae/dubai","Dubai","UAE","App-based rental; no-deposit","Unknown","Unknown","Unknown","YES - app","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Marketed as car rental without deposit","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Global ride-hailing brand entering Dubai rental with no-deposit positioning","https://drive.yango.com/uae/dubai","Discovered via search; site not deeply inspected. Most fields Unknown."
"Thrifty UAE","https://www.thriftyuae.com/","Dubai + UAE","UAE","Global franchise brand; budget/standard","Full range","Unknown - a WhatsApp claim appears on OneClickDrive's listing page, not verified on Thrifty's own site","800 4770","YES","UNKNOWN","NONE FOUND","NONE FOUND","Unknown","YES","YES","YES","YES","YES - DXB, Mall of the Emirates, city locations","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Established 1989; 40+ years in UAE; listed on OneClickDrive alongside independents","https://www.thriftyuae.com/ | https://www.oneclickdrive.com/company/dubai/thrifty-car-rental","IMPORTANT: the WhatsApp claim came from the marketplace listing (OneClickDrive's routing), not Thrifty's own channel. Marked UNKNOWN."
"Europcar Dubai","https://www.europcar.com/en-db","Dubai","UAE","Global brand; airport, leasing","Full range","Unknown","Unknown","YES","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","YES","YES","YES - leasing","YES - T3 24/7 operation","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Operating in Dubai since 1976; 24/7 at DXB Terminal 3","https://www.europcar.com/en-db","Included for traditional-operator contrast."
"Diamondlease","https://www.diamondlease.com/","Dubai","UAE","Corporate leasing + long-term + daily rental","Full range","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","YES","YES - corporate leasing","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Major UAE corporate leasing player","https://www.diamondlease.com/","Site returned minimal content to the fetcher; nearly all fields Unknown."
"Yousco Rent A Car","https://youscorentacar.com/","Dubai","Dubai","Independent; broad","Unknown","Unknown","Unknown","Unknown","YES - 'call or WhatsApp with your selected car, rental duration, and preferred delivery location'","NONE FOUND","NONE FOUND","YES","YES","Unknown","Unknown","Unknown","Unknown","Unknown","YES - delivery location requested at contact","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Their published contact instruction is literally the three slots our agent must capture: vehicle, duration, delivery location","https://youscorentacar.com/","Useful because their own copy documents the minimum viable slot set."
"Formula Drive Rent a Car","https://formuladriverentacar.com/","Dubai","Dubai","Independent; broad","Unknown","Unknown","Unknown","Unknown","YES - call, WhatsApp text or email","NONE FOUND","NONE FOUND","YES","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Typical independent multi-channel contact model","https://formuladriverentacar.com/","Discovery-level record."
"POF Rental","https://www.pofrental.com/","Dubai","Dubai","Luxury / exotic","Luxury and exotic","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Publishes a luxury rental rankings blog used for market mapping","https://www.pofrental.com/ | https://www.pofrental.com/blogs/best-luxury-car-rental-companies-dubai-2026","Site returned HTTP 403 to the fetcher. Discovery-level record only."
"Luxus Car Rental","https://luxuscarrental.com/","Dubai","Dubai","Luxury","Luxury","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Publishes comparative operator reviews","https://luxuscarrental.com/en/blog/best-rent-a-car-companies-in-dubai","Discovery-level record."
"Modena Car Rental","https://modenacar.com/","Dubai","Dubai","Standard + luxury; free delivery","Unknown","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","YES - free car delivery in brand positioning","Unknown","Unknown","Unknown","Tourists: IDL required for non-reciprocal countries, passport, tourist visa, credit card in renter's name. Residents: UAE licence mandatory (international NOT accepted for residents), Emirates ID, sometimes proof of residency (lease/utility bill) for extended rentals","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","CLEAREST published rule that UAE RESIDENTS cannot use an international licence - a hard validation rule for our agent","https://modenacar.com/documents-for-car-rental-in-dubai/","Key source for the document-eligibility decision tree."
"Speedy Drive","https://www.speedydrive.ae/","Dubai","Dubai","Standard","Unknown","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Publishes a hidden-costs guide used as a fee-structure source","https://www.speedydrive.ae/blog/hidden-costs-car-rental-dubai-fees-guide/","Discovery-level record; used as a market-practice source."
"DriveX","https://drivex.ae/","Dubai","Dubai","Standard","Unknown","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Advocates issuing a 'written pre-invoice' before rental - aligns with our binding-quote recommendation","https://drivex.ae/blog/hidden-costs-of-car-rental-in-dubai/ | https://drivex.ae/blog/rental-car-insurance-in-dubai/","Notably refuses to publish figures, directing customers to ask - evidence that opaque pricing is deliberate market practice."
"RentRadar","https://rentradar.ae/","Dubai","Dubai","Comparison / editorial platform","N/A","Unknown","Unknown","Unknown","Unknown","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Documents double-deposit charges and refund disputes","Documents 7 situations 'full insurance' does not cover","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Unknown","Consumer-side watchdog content; premium rental demand analysis","https://rentradar.ae/blog/hidden-charges-in-dubai-car-rentals/ | https://rentradar.ae/en/blog/double-deposit-charges-in-uae | https://rentradar.ae/blog/the-full-insurance-lie-7-situations-where-your-dubai-rental-coverage-wont-pay/","Not a competitor - included as an evidence source for customer pain points."
"Friends Car Rental","https://friendscarrental.com/","Dubai","Dubai","Standard","Unknown","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Documents dispute-resolution path via Consumer Protection","Publishes fee-free extension positioning","Unknown","Unknown","Publishes the most detailed public accident and dispute procedures found","https://friendscarrental.com/blogs/dubai-rental-car-accident | https://friendscarrental.com/blogs/extend-dubai-car-rental | https://friendscarrental.com/blogs/late-rental-car-return-dubai | https://friendscarrental.com/blogs/handle-car-rental-disputes-dubai","Primary source for our accident and late-return flows."
"Moosa Rent a Car (rentacheapcardubai.com)","https://rentacheapcardubai.com/","Dubai","Dubai","Economy; no-deposit","Economy","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","YES","YES","Unknown","Unknown","Unknown","Unknown","Markets zero-deposit","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","NEGATIVE CASE STUDY: Trustpilot reviews report deposit withheld until a Consumer Protection complaint was filed, and a WhatsApp-confirmed price differing from the final invoice","https://rentacheapcardubai.com/rent-a-car-without-deposit-dubai/ | https://www.trustpilot.com/review/rentacheapcardubai.com","Included deliberately as the failure mode our agent must design against."
"Rental Cars UAE","https://rentalcarsuae.com/","Dubai","UAE","Aggregator / broker","Full range from AED 45/day","Unknown","Unknown","YES","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","YES","YES","Unknown","YES - DXB landing pages","Unknown","Unknown","Markets no-deposit listings","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Aggregator with airport landing pages","https://rentalcarsuae.com/rent-a-car-dubai-without-deposit/ | https://rentalcarsuae.com/dubai-airport-dxb/","Discovery-level record."
"Babil Rent A Car","https://babilcar.com/","Dubai","Dubai","No-deposit; economy to luxury","Luxury, SUV, sports, economy","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","YES","YES","Unknown","Unknown","Unknown","Unknown","Zero deposit; transparent pricing claimed","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Zero-deposit positioning across all segments","https://babilcar.com/","Discovery-level record."
"Delta Rentals Dubai","https://deltarentalsdubai.com/","Dubai","Dubai","Luxury / exotic / sports; no-deposit","Exotic, sports","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","YES - free delivery claimed","No deposit","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No deposit + free delivery + exotic fleet positioning","https://deltarentalsdubai.com/","Discovery-level record."
"Faiz Ahmad Rent A Car","https://faizcarrentals.com/","Dubai","Dubai","Independent; no-deposit","Unknown","Unknown","Unknown","Unknown","Unknown","NONE FOUND","NONE FOUND","Unknown","YES","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No deposit","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Small independent no-deposit operator","https://faizcarrentals.com/","Discovery-level record."
